entry_time,exit_time,dir,entry,exit,sl,tp,points,pnl,reason,r_mult,hour,dow,run,risk_pct,dist_module_pct,dist_level_pct,vol_pct,above_ma,equity
2012-01-19 11:54:00-05:00,2012-01-19 11:56:00-05:00,1,2444.63,2443.85,2443.85,2446.9700000000007,-1.2800000000002,-3.8000000000004004,SL,-1.641,11,3,3,0.0319,0.083,,0.0207,-1,-3.8000000000004004
2012-01-19 12:03:00-05:00,2012-01-19 12:08:00-05:00,1,2444.92,2443.85,2443.85,2448.1300000000006,-1.5700000000001637,-4.380000000000328,SL,-1.467,12,3,4,0.0438,0.0949,,0.0206,-1,-8.180000000000728
2012-01-19 12:21:00-05:00,2012-01-19 12:30:00-05:00,1,2443.95,2442.54,2442.54,2448.1799999999994,-1.9099999999998545,-5.059999999999709,SL,-1.355,12,3,5,0.0577,0.0552,,0.019,0,-13.240000000000437
2012-01-19 12:57:00-05:00,2012-01-19 13:04:00-05:00,-1,2442.21,2443.19,2443.19,2439.27,-1.4800000000000182,-4.200000000000037,SL,-1.51,12,3,3,0.0401,0.1347,,0.0161,0,-17.440000000000474
2012-01-20 09:35:00-05:00,2012-01-20 15:00:00-05:00,-1,2432.75,2432.82,2441.99,2405.0300000000007,-0.5700000000001637,-2.3800000000003276,EOD,-0.062,9,4,13,0.3798,0.5241,0.143,0.0254,0,-19.820000000000803
2012-01-23 09:30:00-05:00,2012-01-23 09:32:00-05:00,1,2438.5,2436.77,2436.77,2443.69,-2.230000000000018,-5.700000000000037,SL,-1.289,9,0,3,0.0709,0.3605,0.0607,0.0201,1,-25.52000000000084
2012-01-23 10:07:00-05:00,2012-01-23 10:21:00-05:00,1,2454.43,2452.66,2452.66,2459.74,-2.269999999999982,-5.779999999999964,SL,-1.282,10,0,3,0.0721,1.0072,0.7093,0.0391,1,-31.300000000000807
2012-01-23 10:31:00-05:00,2012-01-23 10:43:00-05:00,1,2448.56,2446.72,2446.72,2454.0800000000004,-2.3400000000001455,-5.920000000000291,SL,-1.272,10,0,3,0.0751,0.7698,0.4713,0.0394,1,-37.2200000000011
2012-01-23 11:19:00-05:00,2012-01-23 11:26:00-05:00,-1,2439.38,2440.43,2440.43,2436.230000000001,-1.5499999999997272,-4.3399999999994545,SL,-1.476,11,0,3,0.043,0.4513,0.0967,0.0303,1,-41.56000000000056
2012-01-23 11:33:00-05:00,2012-01-23 11:35:00-05:00,1,2441.27,2440.44,2440.44,2443.7599999999998,-1.3299999999999272,-3.8999999999998547,SL,-1.602,11,0,4,0.034,0.4735,0.1741,0.0282,1,-45.46000000000041
2012-01-23 11:42:00-05:00,2012-01-23 11:43:00-05:00,1,2435.92,2434.5,2434.5,2440.1800000000003,-1.9200000000000728,-5.080000000000146,SL,-1.352,11,0,6,0.0583,0.2549,0.0452,0.0279,0,-50.54000000000056
2012-01-23 12:47:00-05:00,2012-01-23 12:56:00-05:00,-1,2431.82,2429.4500000000003,2432.61,2429.4500000000003,1.8699999999998909,2.4999999999997815,TP,2.367,12,0,5,0.0325,0.7636,0.2138,0.0271,0,-48.04000000000078
2012-01-23 13:04:00-05:00,2012-01-23 13:07:00-05:00,-1,2430.39,2431.78,2431.78,2426.219999999999,-1.8900000000003274,-5.020000000000655,SL,-1.36,13,0,6,0.0572,0.8229,0.2728,0.0229,0,-53.06000000000144
2012-01-24 10:00:00-05:00,2012-01-24 10:03:00-05:00,-1,2424.47,2428.22,2428.22,2413.22,-4.25,-9.74,SL,-1.133,10,1,4,0.1547,1.0691,0.0074,0.0313,0,-62.80000000000144
2012-01-24 10:19:00-05:00,2012-01-24 10:22:00-05:00,1,2432.19,2430.75,2430.75,2436.51,-1.9400000000000546,-5.120000000000109,SL,-1.347,10,1,3,0.0592,0.363,0.9469,0.038,0,-67.92000000000155
2012-01-24 10:28:00-05:00,2012-01-24 10:31:00-05:00,1,2431.76,2430.25,2430.25,2436.290000000001,-2.0100000000002183,-5.260000000000437,SL,-1.331,10,1,4,0.0621,0.3454,0.9647,0.0405,0,-73.18000000000198
