slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
bitcoin-up-or-down-july-18-6pm-et,bitcoin,2025-07-18 22:00:00+00:00,3600,339711.269673,117676.81,5.0642836735725e-05,60,DOWN,1,-0.07787375001272884,0.505,0.42712624998727117,0.51,UP,False,-0.495,-0.5252,
bitcoin-up-or-down-july-19-12pm-et,bitcoin,2025-07-19 16:00:00+00:00,3600,370296.824976,118058.1,5e-05,60,DOWN,2,-0.05406380457116661,0.505,0.4509361954288334,0.51,DOWN,True,0.505,0.4748,
bitcoin-up-or-down-july-19-2pm-et,bitcoin,2025-07-19 18:00:00+00:00,3600,383733.912785,117808.17,5e-05,60,UP,2,0.12707352560565527,0.41,0.5370735256056552,0.425,UP,True,0.5900000000000001,0.5615,
bitcoin-up-or-down-july-19-5pm-et,bitcoin,2025-07-19 21:00:00+00:00,3600,612195.339219,117720.0,5e-05,60,UP,2,0.09794496782516426,0.505,0.6029449678251643,0.52,DOWN,False,-0.505,-0.5354,
bitcoin-up-or-down-october-10-2am-et,bitcoin,2025-10-10 06:00:00+00:00,3600,447322.077768,121583.89,5e-05,60,UP,1,0.07961616697164892,0.455,0.5346161669716489,0.47000000000000003,DOWN,False,-0.455,-0.48440000000000005,
bitcoin-up-or-down-october-10-11am-et,bitcoin,2025-10-10 15:00:00+00:00,3600,309701.241098,120493.16,0.00011875248312927754,60,DOWN,1,-0.09179748689729034,0.545,0.4532025131027097,0.47,DOWN,True,0.545,0.5156000000000001,
bitcoin-up-or-down-october-10-12pm-et,bitcoin,2025-10-10 16:00:00+00:00,3600,435319.193824,119018.99,0.00016953584632385112,60,DOWN,1,-0.07580317820739035,0.535,0.4591968217926097,0.48,DOWN,True,0.535,0.5054,
bitcoin-up-or-down-october-11-4am-et,bitcoin,2025-10-11 08:00:00+00:00,3600,528513.127082,110384.6,0.00012064154719200958,60,DOWN,3,-0.08360328482753093,0.56,0.4763967151724691,0.45499999999999996,UP,False,-0.43999999999999995,-0.46909999999999996,
bitcoin-up-or-down-october-12-4pm-et,bitcoin,2025-10-12 20:00:00+00:00,3600,305606.841765,114342.28,6.162273948996685e-05,60,UP,1,0.08993718766526343,0.465,0.5549371876652635,0.48000000000000004,UP,True,0.5349999999999999,0.5054,
bitcoin-up-or-down-october-13-2am-et,bitcoin,2025-10-13 06:00:00+00:00,3600,310181.566442,114611.82,5.2252056811469504e-05,60,DOWN,2,-0.06207318929571931,0.51,0.4479268107042807,0.505,UP,False,-0.49,-0.5201,
bitcoin-up-or-down-october-13-3am-et,bitcoin,2025-10-13 07:00:00+00:00,3600,480904.127496,115221.23,7.708157740658385e-05,60,UP,1,0.10113260326727563,0.46,0.5611326032672757,0.47500000000000003,UP,True,0.54,0.5105,
bitcoin-up-or-down-october-13-2pm-et,bitcoin,2025-10-13 18:00:00+00:00,3600,339709.55436,115040.55,9.520191737763523e-05,60,UP,3,0.052497352176895606,0.375,0.4274973521768956,0.39,UP,True,0.625,0.5972,
bitcoin-up-or-down-october-13-3pm-et,bitcoin,2025-10-13 19:00:00+00:00,3600,306350.198697,115160.63,8.245855896298678e-05,60,UP,6,0.05751154291573235,0.44,0.49751154291573235,0.455,UP,True,0.56,0.5308999999999999,
bitcoin-up-or-down-october-13-4pm-et,bitcoin,2025-10-13 20:00:00+00:00,3600,328691.186136,115792.84,6.74589458879335e-05,60,UP,3,0.07307981356902499,0.445,0.518079813569025,0.46,DOWN,False,-0.445,-0.4742,
bitcoin-up-or-down-october-13-5pm-et,bitcoin,2025-10-13 21:00:00+00:00,3600,319071.007599,115713.37,5.377673758075018e-05,60,DOWN,2,-0.061209224803316864,0.465,0.40379077519668316,0.5499999999999999,DOWN,True,0.4650000000000001,0.43400000000000005,
bitcoin-up-or-down-october-14-3am-et,bitcoin,2025-10-14 07:00:00+00:00,3600,469103.163722,111987.39,0.00012010598119738565,60,DOWN,1,-0.06699943525383723,0.565,0.4980005647461627,0.45000000000000007,DOWN,True,0.565,0.5359999999999999,
bitcoin-up-or-down-october-14-4am-et,bitcoin,2025-10-14 08:00:00+00:00,3600,538559.140484,111724.41,0.00012320279966911236,60,DOWN,1,-0.0610424896441315,0.575,0.5139575103558685,0.44000000000000006,UP,False,-0.42500000000000004,-0.45380000000000004,
bitcoin-up-or-down-october-14-5pm-et,bitcoin,2025-10-14 21:00:00+00:00,3600,920452.035034,112992.88,5.723054595581013e-05,60,DOWN,2,-0.07911252836901794,0.495,0.41588747163098205,0.52,UP,False,-0.505,-0.5354,
bitcoin-up-or-down-october-15-5am-et,bitcoin,2025-10-15 09:00:00+00:00,3600,351449.689918,112944.84,8.51688944259946e-05,60,DOWN,1,-0.07182487474952359,0.485,0.4131751252504764,0.53,DOWN,True,0.485,0.45439999999999997,
bitcoin-up-or-down-october-15-7am-et,bitcoin,2025-10-15 11:00:00+00:00,3600,445993.377172,112266.7,7.662394850640237e-05,60,UP,1,0.07060932408728149,0.525,0.5956093240872815,0.54,DOWN,False,-0.525,-0.5558000000000001,
bitcoin-up-or-down-october-15-2pm-et,bitcoin,2025-10-15 18:00:00+00:00,3600,301346.114803,111186.77,8.844250079857781e-05,60,DOWN,2,-0.08654431192462969,0.465,0.37845568807537033,0.5499999999999999,UP,False,-0.5349999999999999,-0.566,
bitcoin-up-or-down-october-15-3pm-et,bitcoin,2025-10-15 19:00:00+00:00,3600,401969.655881,111444.76,7.216025083573933e-05,60,DOWN,8,-0.054242429942899795,0.325,0.2707575700571002,0.6900000000000001,DOWN,True,0.32499999999999996,0.29119999999999996,
bitcoin-up-or-down-october-15-4pm-et,bitcoin,2025-10-15 20:00:00+00:00,3600,319426.318863,111271.73,5.70222260332232e-05,60,UP,1,0.11854290050903382,0.515,0.6335429005090338,0.53,DOWN,False,-0.515,-0.5456000000000001,
bitcoin-up-or-down-october-15-5pm-et,bitcoin,2025-10-15 21:00:00+00:00,3600,357283.992004,111109.77,0.00010337251821719528,60,DOWN,3,-0.050452656629789594,0.52,0.4695473433702104,0.495,DOWN,True,0.52,0.4901,
bitcoin-up-or-down-october-16-5am-et,bitcoin,2025-10-16 09:00:00+00:00,3600,279583.065261,110817.5,5.2844036090846e-05,60,DOWN,1,-0.05330930327579103,0.525,0.471690696724209,0.49,UP,False,-0.475,-0.5048,
bitcoin-up-or-down-october-16-3pm-et,bitcoin,2025-10-16 19:00:00+00:00,3600,313352.264784,108656.19,0.00011739931898323721,60,DOWN,1,-0.07670605190698937,0.52,0.44329394809301065,0.495,DOWN,True,0.52,0.4901,
bitcoin-up-or-down-october-17-5pm-et,bitcoin,2025-10-17 21:00:00+00:00,3600,385919.090242,107021.38,5.7602033375186934e-05,60,UP,5,0.05439898109150054,0.555,0.6093989810915006,0.5700000000000001,UP,True,0.44499999999999995,0.4135999999999999,
bitcoin-up-or-down-october-17-6pm-et,bitcoin,2025-10-17 22:00:00+00:00,3600,354983.108863,107301.41,6.046924248221737e-05,60,DOWN,6,-0.07909241438773296,0.61,0.530907585612267,0.405,DOWN,True,0.61,0.5819,
bitcoin-up-or-down-october-18-1am-et,bitcoin,2025-10-18 05:00:00+00:00,3600,310779.775035,106478.66,5.209770107950556e-05,60,DOWN,8,-0.06275624815298475,0.735,0.6722437518470152,0.28,UP,False,-0.265,-0.2906,
