slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
ethereum-up-or-down-june-19-12am-et,ethereum,2025-06-19 04:00:00+00:00,3600,9520.821586,2525.44,5e-05,60,DOWN,2.0,-0.08792900801574954,0.515,0.42707099198425047,0.5,DOWN,True,0.515,0.485,
ethereum-up-or-down-june-19-1am-et,ethereum,2025-06-19 05:00:00+00:00,3600,20467.640324,2524.4,5.1587194150705074e-05,60,DOWN,1.0,-0.09073442960636724,0.48,0.38926557039363274,0.535,DOWN,True,0.48,0.4493,
ethereum-up-or-down-june-19-2am-et,ethereum,2025-06-19 06:00:00+00:00,3600,17830.188114,2522.1,5.7834554063361443e-05,60,UP,2.0,0.0648193861287456,0.5,0.5648193861287456,0.515,DOWN,False,-0.5,-0.5303,
ethereum-up-or-down-june-19-3am-et,ethereum,2025-06-19 07:00:00+00:00,3600,20330.165675,2519.05,5e-05,60,UP,1.0,0.06785497619375824,0.5,0.5678549761937582,0.515,DOWN,False,-0.5,-0.5303,
ethereum-up-or-down-june-19-4am-et,ethereum,2025-06-19 08:00:00+00:00,3600,11369.06413,2518.99,5.142194904090482e-05,60,UP,2.0,0.10324870484351067,0.525,0.6282487048435107,0.54,UP,True,0.475,0.4442,
ethereum-up-or-down-june-19-5am-et,ethereum,2025-06-19 09:00:00+00:00,3600,6373.102156,2523.58,5.422157066616194e-05,60,UP,2.0,0.07702313645396508,0.49,0.5670231364539651,0.505,UP,True,0.51,0.4799,
ethereum-up-or-down-june-19-6am-et,ethereum,2025-06-19 10:00:00+00:00,3600,58283.02135,2538.32,7.527758490804781e-05,60,UP,1.0,0.057212145886227694,0.485,0.5422121458862277,0.5,UP,True,0.515,0.485,
ethereum-up-or-down-june-19-7am-et,ethereum,2025-06-19 11:00:00+00:00,3600,6500.771264,2538.55,6.692463128924939e-05,60,DOWN,2.0,-0.05847612118854789,0.47,0.4115238788114521,0.545,DOWN,True,0.47,0.43909999999999993,
ethereum-up-or-down-june-19-8am-et,ethereum,2025-06-19 12:00:00+00:00,3600,12164.099163,2531.82,5e-05,60,UP,1.0,0.07721033685541778,0.495,0.5722103368554178,0.51,DOWN,False,-0.495,-0.5252,
ethereum-up-or-down-june-19-9am-et,ethereum,2025-06-19 13:00:00+00:00,3600,6252.929125,2525.5,6.918002626423833e-05,60,DOWN,9.0,-0.16573906685979373,0.48,0.31426093314020626,0.535,DOWN,True,0.48,0.4493,
ethereum-up-or-down-june-19-10am-et,ethereum,2025-06-19 14:00:00+00:00,3600,19220.231805,2509.82,6.474380148178353e-05,60,UP,4.0,0.10463504737200535,0.56,0.6646350473720054,0.5750000000000001,DOWN,False,-0.56,-0.5915,
ethereum-up-or-down-june-19-11am-et,ethereum,2025-06-19 15:00:00+00:00,3600,38959.866039,2496.93,8.334271565336441e-05,60,UP,1.0,0.05597978309529528,0.505,0.5609797830952953,0.52,DOWN,False,-0.505,-0.5354,
ethereum-up-or-down-june-19-12pm-et,ethereum,2025-06-19 16:00:00+00:00,3600,19640.447121,2492.97,8.595297623741779e-05,60,UP,1.0,0.07392785322856765,0.49,0.5639278532285676,0.505,DOWN,False,-0.49,-0.5201,
ethereum-up-or-down-june-19-1pm-et,ethereum,2025-06-19 17:00:00+00:00,3600,5093.438052,2487.78,7.857178659044166e-05,60,UP,1.0,0.1069196554151145,0.5,0.6069196554151145,0.515,UP,True,0.5,0.4697,
ethereum-up-or-down-june-19-2pm-et,ethereum,2025-06-19 18:00:00+00:00,3600,4206.84539,2508.32,0.00011236488520323668,60,UP,4.0,0.10554715074369814,0.485,0.5905471507436981,0.5,DOWN,False,-0.485,-0.515,
ethereum-up-or-down-june-19-3pm-et,ethereum,2025-06-19 19:00:00+00:00,3600,22808.340031,2504.78,6.661790094216368e-05,60,UP,3.0,0.0841237744393809,0.495,0.5791237744393809,0.51,UP,True,0.505,0.4748,
ethereum-up-or-down-june-19-4pm-et,ethereum,2025-06-19 20:00:00+00:00,3600,3286.868872,2504.87,6.93673694808323e-05,60,UP,2.0,0.055285534251223845,0.535,0.5902855342512239,0.55,UP,True,0.46499999999999997,0.43399999999999994,
