slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
bitcoin-up-or-down-april-26-2026-7pm-et,bitcoin,2026-04-26 23:00:00+00:00,3600,79697.54859399993,78313.52,9.63764487071755e-05,60,DOWN,1.0,-0.0807392972632526,0.545,0.4642607027367473,0.47,UP,False,-0.4549999999999999,-0.4844,
bitcoin-up-or-down-april-26-2026-8pm-et,bitcoin,2026-04-27 00:00:00+00:00,3600,101265.71063299997,78657.55,9.28554721055206e-05,60,UP,1.0,0.1706719187810677,0.445,0.6156719187810678,0.46,UP,True,0.5549999999999999,0.5258,
bitcoin-up-or-down-april-26-2026-9pm-et,bitcoin,2026-04-27 01:00:00+00:00,3600,114375.2523739999,79309.0,8.587660761279382e-05,60,UP,1.0,0.1590097481999423,0.445,0.6040097481999424,0.46,DOWN,False,-0.445,-0.4742,
bitcoin-up-or-down-april-27-2026-1am-et,bitcoin,2026-04-27 05:00:00+00:00,3600,100629.28587500005,78924.21,5e-05,60,DOWN,1.0,-0.1210857063461769,0.565,0.443914293653823,0.45,DOWN,True,0.565,0.5359999999999999,
bitcoin-up-or-down-april-27-2026-3am-et,bitcoin,2026-04-27 07:00:00+00:00,3600,140292.2594919997,77700.12,5.811381194602312e-05,60,DOWN,1.0,-0.0598936658348601,0.555,0.4951063341651399,0.4599999999999999,DOWN,True,0.555,0.5258,
bitcoin-up-or-down-april-27-2026-4am-et,bitcoin,2026-04-27 08:00:00+00:00,3600,102329.940848,77606.59,5.188859665278467e-05,60,DOWN,2.0,-0.1071191721658424,0.645,0.5378808278341576,0.37,UP,False,-0.355,-0.3824,
bitcoin-up-or-down-april-27-2026-5am-et,bitcoin,2026-04-27 09:00:00+00:00,3600,66049.43018899998,77804.34,5e-05,60,UP,8.0,0.0677499501393474,0.515,0.5827499501393475,0.53,UP,True,0.485,0.4543999999999999,
bitcoin-up-or-down-april-27-2026-7am-et,bitcoin,2026-04-27 11:00:00+00:00,3600,78445.86959500003,77850.01,5e-05,60,UP,1.0,0.1092841753251582,0.405,0.5142841753251582,0.42,DOWN,False,-0.405,-0.4334,
bitcoin-up-or-down-april-27-2026-9am-et,bitcoin,2026-04-27 13:00:00+00:00,3600,81819.01637299999,77667.36,5e-05,60,DOWN,2.0,-0.0621087121818093,0.555,0.4928912878181907,0.4599999999999999,UP,False,-0.4449999999999999,-0.4741999999999999,
bitcoin-up-or-down-april-27-2026-10am-et,bitcoin,2026-04-27 14:00:00+00:00,3600,67885.51265899997,77746.74,6.05799377646791e-05,60,UP,1.0,0.0798701340774388,0.505,0.5848701340774388,0.52,UP,True,0.495,0.4645999999999999,
bitcoin-up-or-down-april-27-2026-11am-et,bitcoin,2026-04-27 15:00:00+00:00,3600,77446.38854199997,77815.26,8.028335637229374e-05,60,DOWN,5.0,-0.2546220267965015,0.355,0.1003779732034985,0.66,DOWN,True,0.355,0.3218,
bitcoin-up-or-down-april-27-2026-12pm-et,bitcoin,2026-04-27 16:00:00+00:00,3600,66584.51516899998,76793.1,0.0001401762778493,60,DOWN,1.0,-0.1048384595868818,0.57,0.4651615404131181,0.445,DOWN,True,0.57,0.5410999999999999,
bitcoin-up-or-down-april-27-2026-3pm-et,bitcoin,2026-04-27 19:00:00+00:00,3600,110208.08630799984,76834.05,5e-05,60,UP,1.0,0.0754533620654775,0.475,0.5504533620654776,0.49,UP,True,0.525,0.4952,
bitcoin-up-or-down-april-27-2026-5pm-et,bitcoin,2026-04-27 21:00:00+00:00,3600,84964.84745099998,76960.43,5e-05,60,DOWN,6.0,-0.0575858983778225,0.415,0.3574141016221774,0.6,DOWN,True,0.415,0.383,
bitcoin-up-or-down-april-28-2026-1am-et,bitcoin,2026-04-28 05:00:00+00:00,3600,94875.4989380001,76888.08,5e-05,60,UP,7.0,0.0858345705535439,0.645,0.730834570553544,0.66,DOWN,False,-0.645,-0.6782,
bitcoin-up-or-down-april-28-2026-2am-et,bitcoin,2026-04-28 06:00:00+00:00,3600,70261.27100099988,76885.97,5e-05,60,UP,2.0,0.0591931710022318,0.555,0.6141931710022319,0.5700000000000001,DOWN,False,-0.555,-0.5864,
bitcoin-up-or-down-april-28-2026-3am-et,bitcoin,2026-04-28 07:00:00+00:00,3600,190889.5812709999,76720.01,5.0908561239981255e-05,60,DOWN,2.0,-0.0658829378660282,0.495,0.4291170621339717,0.52,UP,False,-0.505,-0.5354,
bitcoin-up-or-down-april-28-2026-12pm-et,bitcoin,2026-04-28 16:00:00+00:00,3600,64202.712909000016,76066.37,6.0357868791739205e-05,60,DOWN,1.0,-0.0660358776362277,0.535,0.4689641223637723,0.48,UP,False,-0.4649999999999999,-0.4946,
bitcoin-up-or-down-april-28-2026-1pm-et,bitcoin,2026-04-28 17:00:00+00:00,3600,64571.547472000006,76125.04,5.317828758000016e-05,60,UP,1.0,0.0626515516868367,0.535,0.5976515516868368,0.55,UP,True,0.4649999999999999,0.4339999999999999,
bitcoin-up-or-down-april-28-2026-2pm-et,bitcoin,2026-04-28 18:00:00+00:00,3600,72158.59751800005,76187.3,5.1557600247795514e-05,60,UP,2.0,0.0935550209718347,0.445,0.5385550209718347,0.46,UP,True,0.5549999999999999,0.5258,
bitcoin-up-or-down-april-28-2026-5pm-et,bitcoin,2026-04-28 21:00:00+00:00,3600,65861.81035900002,76463.95,5e-05,60,UP,1.0,0.1085568075242814,0.42,0.5285568075242815,0.435,DOWN,False,-0.42,-0.4487,
bitcoin-up-or-down-april-29-2026-12am-et,bitcoin,2026-04-29 04:00:00+00:00,3600,83226.71881999998,76994.77,6.280649055278983e-05,60,UP,7.0,0.0509452934158486,0.375,0.4259452934158486,0.39,UP,True,0.625,0.5972,
bitcoin-up-or-down-april-29-2026-2am-et,bitcoin,2026-04-29 06:00:00+00:00,3600,76751.77770500001,77288.39,5e-05,60,UP,4.0,0.0723470146335417,0.415,0.4873470146335417,0.43,DOWN,False,-0.415,-0.4436,
bitcoin-up-or-down-april-29-2026-7am-et,bitcoin,2026-04-29 11:00:00+00:00,3600,77511.30766700002,77619.62,5e-05,60,UP,1.0,0.1346010138643397,0.38,0.5146010138643398,0.395,DOWN,False,-0.38,-0.4079,
bitcoin-up-or-down-april-29-2026-9am-et,bitcoin,2026-04-29 13:00:00+00:00,3600,208860.8932479999,77143.68,8.261674760950747e-05,60,DOWN,6.0,-0.0763684765776884,0.525,0.4486315234223115,0.49,DOWN,True,0.525,0.4952,
bitcoin-up-or-down-april-29-2026-10am-et,bitcoin,2026-04-29 14:00:00+00:00,3600,161211.7125119998,76783.42,9.049903838308844e-05,60,DOWN,1.0,-0.1343629025940598,0.56,0.4256370974059402,0.4549999999999999,DOWN,True,0.56,0.5309,
bitcoin-up-or-down-april-29-2026-11am-et,bitcoin,2026-04-29 15:00:00+00:00,3600,155534.7032339997,76570.0,6.598424974410513e-05,60,DOWN,2.0,-0.0817388740512582,0.605,0.5232611259487417,0.41,DOWN,True,0.605,0.5768,
bitcoin-up-or-down-april-29-2026-12pm-et,bitcoin,2026-04-29 16:00:00+00:00,3600,160705.75273999985,75924.24,7.885488909587668e-05,60,DOWN,1.0,-0.1238385086400905,0.56,0.4361614913599095,0.4549999999999999,DOWN,True,0.56,0.5309,
bitcoin-up-or-down-april-29-2026-1pm-et,bitcoin,2026-04-29 17:00:00+00:00,3600,141376.78572399984,75803.55,6.747977446801553e-05,60,DOWN,2.0,-0.0841507742938879,0.615,0.530849225706112,0.4,UP,False,-0.385,-0.413,
bitcoin-up-or-down-april-29-2026-2pm-et,bitcoin,2026-04-29 18:00:00+00:00,3600,148103.463554,76184.0,7.713096142077328e-05,60,DOWN,1.0,-0.1249513075642922,0.535,0.4100486924357077,0.48,DOWN,True,0.535,0.5054,
bitcoin-up-or-down-april-29-2026-3pm-et,bitcoin,2026-04-29 19:00:00+00:00,3600,121294.09037599976,75513.92,0.0001614475228968,60,UP,7.0,0.0623934204713171,0.405,0.4673934204713172,0.42,UP,True,0.595,0.5666,
