slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
bitcoin-up-or-down-june-19-12am-et,bitcoin,2025-06-19 04:00:00+00:00,3600,20509.171557,105100.01,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-12am-et,ethereum,2025-06-19 04:00:00+00:00,3600,9520.821586,2525.44,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-1am-et,bitcoin,2025-06-19 05:00:00+00:00,3600,57324.951207,105073.52,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-1am-et,ethereum,2025-06-19 05:00:00+00:00,3600,20467.640324,2524.4,5.1587194150705074e-05,60,DOWN,59.0,-0.4713473692758456,0.48,0.008652630724154398,0.535,DOWN,True,0.48,0.4493,
bitcoin-up-or-down-june-19-2am-et,bitcoin,2025-06-19 06:00:00+00:00,3600,24554.038696,104892.86,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-2am-et,ethereum,2025-06-19 06:00:00+00:00,3600,17830.188114,2522.1,5.7834554063361443e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-3am-et,bitcoin,2025-06-19 07:00:00+00:00,3600,21192.303688,104707.95,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-3am-et,ethereum,2025-06-19 07:00:00+00:00,3600,20330.165675,2519.05,5e-05,60,DOWN,57.0,-0.30298828094438923,0.68,0.3770117190556108,0.33499999999999996,DOWN,True,0.68,0.6533,
bitcoin-up-or-down-june-19-4am-et,bitcoin,2025-06-19 08:00:00+00:00,3600,21379.331864,104642.85,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-4am-et,ethereum,2025-06-19 08:00:00+00:00,3600,11369.06413,2518.99,5.142194904090482e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-5am-et,bitcoin,2025-06-19 09:00:00+00:00,3600,16138.764712,104746.11,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-5am-et,ethereum,2025-06-19 09:00:00+00:00,3600,6373.102156,2523.58,5.422157066616194e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-6am-et,bitcoin,2025-06-19 10:00:00+00:00,3600,20788.857905,104994.0,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-6am-et,ethereum,2025-06-19 10:00:00+00:00,3600,58283.02135,2538.32,7.527758490804781e-05,60,DOWN,57.0,-0.3444781698017675,0.775,0.43052183019823254,0.24,UP,False,-0.22499999999999998,-0.2498,
bitcoin-up-or-down-june-19-7am-et,bitcoin,2025-06-19 11:00:00+00:00,3600,13425.603239,104913.19,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-7am-et,ethereum,2025-06-19 11:00:00+00:00,3600,6500.771264,2538.55,6.692463128924939e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-8am-et,bitcoin,2025-06-19 12:00:00+00:00,3600,39839.573313,104776.23,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-8am-et,ethereum,2025-06-19 12:00:00+00:00,3600,12164.099163,2531.82,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-9am-et,bitcoin,2025-06-19 13:00:00+00:00,3600,37778.543596,104752.61,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-9am-et,ethereum,2025-06-19 13:00:00+00:00,3600,6252.929125,2525.5,6.918002626423833e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-10am-et,bitcoin,2025-06-19 14:00:00+00:00,3600,67268.503225,104283.33,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-10am-et,ethereum,2025-06-19 14:00:00+00:00,3600,19220.231805,2509.82,6.474380148178353e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-11am-et,bitcoin,2025-06-19 15:00:00+00:00,3600,82805.14766,104148.61,5e-05,60,DOWN,59.0,-0.42499879158924275,0.465,0.04000120841075727,0.5499999999999999,DOWN,True,0.4650000000000001,0.43400000000000005,
ethereum-up-or-down-june-19-11am-et,ethereum,2025-06-19 15:00:00+00:00,3600,38959.866039,2496.93,8.334271565336441e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-12pm-et,bitcoin,2025-06-19 16:00:00+00:00,3600,72271.897949,104096.94,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-12pm-et,ethereum,2025-06-19 16:00:00+00:00,3600,19640.447121,2492.97,8.595297623741779e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-1pm-et,bitcoin,2025-06-19 17:00:00+00:00,3600,58777.506501,104001.13,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-1pm-et,ethereum,2025-06-19 17:00:00+00:00,3600,5093.438052,2487.78,7.857178659044166e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-2pm-et,bitcoin,2025-06-19 18:00:00+00:00,3600,36439.529925,104521.32,6.519760862345763e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-2pm-et,ethereum,2025-06-19 18:00:00+00:00,3600,4206.84539,2508.32,0.00011236488520323668,60,DOWN,56.0,-0.4396351040879758,0.5,0.06036489591202421,0.515,DOWN,True,0.5,0.4697,
bitcoin-up-or-down-june-19-3pm-et,bitcoin,2025-06-19 19:00:00+00:00,3600,29197.549802,104392.54,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-3pm-et,ethereum,2025-06-19 19:00:00+00:00,3600,22808.340031,2504.78,6.661790094216368e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-4pm-et,bitcoin,2025-06-19 20:00:00+00:00,3600,34160.616925,104250.45,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-4pm-et,ethereum,2025-06-19 20:00:00+00:00,3600,3286.868872,2504.87,6.93673694808323e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-5pm-et,bitcoin,2025-06-19 21:00:00+00:00,3600,57461.296325,104266.83,5e-05,60,DOWN,56.0,-0.40103744982123213,0.96,0.5589625501787678,0.055000000000000035,UP,False,-0.040000000000000036,-0.061100000000000036,
ethereum-up-or-down-june-19-5pm-et,ethereum,2025-06-19 21:00:00+00:00,3600,75780.675142,2507.27,6.498780170942014e-05,60,DOWN,56.0,-0.37816414785129376,0.745,0.36683585214870623,0.27,UP,False,-0.255,-0.28040000000000004,
bitcoin-up-or-down-june-19-6pm-et,bitcoin,2025-06-19 22:00:00+00:00,3600,18973.750372,104332.45,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-6pm-et,ethereum,2025-06-19 22:00:00+00:00,3600,4507.099914,2510.12,9.29638142278615e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-7pm-et,bitcoin,2025-06-19 23:00:00+00:00,3600,45175.345286,104596.29,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-7pm-et,ethereum,2025-06-19 23:00:00+00:00,3600,17986.518212,2523.59,7.342059553191726e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-8pm-et,bitcoin,2025-06-20 00:00:00+00:00,3600,22037.53359,104658.59,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-8pm-et,ethereum,2025-06-20 00:00:00+00:00,3600,4308.966163,2521.13,5.242391154965904e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-9pm-et,bitcoin,2025-06-20 01:00:00+00:00,3600,34589.736632,104692.74,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-9pm-et,ethereum,2025-06-20 01:00:00+00:00,3600,15816.212635,2525.56,6.194770806445931e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-june-19-10pm-et,bitcoin,2025-06-20 02:00:00+00:00,3600,17260.767511,104778.5,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-19-10pm-et,ethereum,2025-06-20 02:00:00+00:00,3600,3510.416079,2527.29,6.098032343581127e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
