slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
sol-updown-5m-1780403400,solana,2026-06-02 12:30:00+00:00,300,0.0,78.94,9.118223945704039e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
btc-updown-5m-1780403400,bitcoin,2026-06-02 12:30:00+00:00,300,80262.235701,69286.03,7.143005609705774e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
eth-updown-5m-1780403400,ethereum,2026-06-02 12:30:00+00:00,300,5686.5127900000025,1979.99,7.284774432113987e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-updown-5m-1780403400,xrp,2026-06-02 12:30:00+00:00,300,744.3460859999999,1.2623,9.014448035813423e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
btc-updown-5m-1780403700,bitcoin,2026-06-02 12:35:00+00:00,300,120608.59098799991,69173.84,7.287048899848842e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
sol-updown-5m-1780403700,solana,2026-06-02 12:35:00+00:00,300,4120.502723999997,78.82,8.985492581414597e-05,5,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
xrp-updown-5m-1780403700,xrp,2026-06-02 12:35:00+00:00,300,0.0,1.2616,8.801341431282706e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
eth-updown-5m-1780403700,ethereum,2026-06-02 12:35:00+00:00,300,6432.837675999999,1976.45,7.530202584191345e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
btc-updown-15m-1780403400,bitcoin,2026-06-02 12:30:00+00:00,900,51528.728751999966,69286.03,7.143005609705774e-05,15,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
eth-updown-15m-1780403400,ethereum,2026-06-02 12:30:00+00:00,900,9209.469546999993,1979.99,7.284774432113987e-05,15,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-updown-15m-1780403400,xrp,2026-06-02 12:30:00+00:00,900,1881.6481050000007,1.2623,9.014448035813423e-05,15,UP,11.0,0.35527856387510093,0.145,0.500278563875101,0.15999999999999998,UP,True,0.855,0.8318000000000001,
sol-updown-15m-1780403400,solana,2026-06-02 12:30:00+00:00,900,2507.1278019999986,78.94,9.118223945704039e-05,15,UP,11.0,0.43143942786713674,0.14,0.5714394278671368,0.15500000000000003,UP,True,0.86,0.8369,
btc-updown-5m-1780404000,bitcoin,2026-06-02 12:40:00+00:00,300,103916.52310699994,69104.0,7.115751284821452e-05,5,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
xrp-updown-5m-1780404000,xrp,2026-06-02 12:40:00+00:00,300,0.0,1.2606,8.709725486954856e-05,5,UP,1.0,0.3262122067154233,0.515,0.8412122067154233,0.53,UP,True,0.485,0.45439999999999997,
sol-updown-5m-1780404000,solana,2026-06-02 12:40:00+00:00,300,0.0,78.84,8.793030039217436e-05,5,UP,1.0,0.3380423322068692,0.53,0.8680423322068692,0.545,UP,True,0.47,0.43909999999999993,
eth-updown-5m-1780404000,ethereum,2026-06-02 12:40:00+00:00,300,5228.872551999999,1973.51,7.4870672899247e-05,5,UP,1.0,0.3060373065536911,0.565,0.871037306553691,0.58,UP,True,0.43500000000000005,0.40340000000000004,
btc-updown-5m-1780404300,bitcoin,2026-06-02 12:45:00+00:00,300,98516.90284999966,69215.52,7.430233275158182e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
eth-updown-5m-1780404300,ethereum,2026-06-02 12:45:00+00:00,300,6093.127748000002,1979.15,7.955852406605237e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-updown-5m-1780404300,xrp,2026-06-02 12:45:00+00:00,300,0.0,1.2655,9.007700823275993e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
sol-updown-5m-1780404300,solana,2026-06-02 12:45:00+00:00,300,1614.6657529999995,79.13,8.758294812642027e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
btc-updown-5m-1780404600,bitcoin,2026-06-02 12:50:00+00:00,300,74710.20767300008,69130.04,7.466939539830184e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
sol-updown-5m-1780404600,solana,2026-06-02 12:50:00+00:00,300,1999.5861700000005,78.97,8.867844478840288e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-updown-5m-1780404600,xrp,2026-06-02 12:50:00+00:00,300,0.0,1.2636,8.8858008382354e-05,5,UP,4.0,0.3748618451953072,0.5,0.8748618451953072,0.515,DOWN,False,-0.5,-0.5303,
eth-updown-5m-1780404600,ethereum,2026-06-02 12:50:00+00:00,300,7598.905843999996,1976.09,8.056704453086382e-05,5,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
btc-updown-15m-1780404300,bitcoin,2026-06-02 12:45:00+00:00,900,48261.370903999974,69215.52,7.430233275158182e-05,15,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
eth-updown-15m-1780404300,ethereum,2026-06-02 12:45:00+00:00,900,6044.519524,1979.15,7.955852406605237e-05,15,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
