slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
ethereum-up-or-down-april-26-2026-7pm-et,ethereum,2026-04-26 23:00:00+00:00,3600,16350.032142999999,2361.88,0.00010275273779455072,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-26-2026-8pm-et,ethereum,2026-04-27 00:00:00+00:00,3600,11260.642521000003,2369.45,7.784120477132345e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-26-2026-9pm-et,ethereum,2026-04-27 01:00:00+00:00,3600,20456.900239000046,2390.56,9.492261083719385e-05,60,UP,59.0,0.6880511186295182,0.285,0.9730511186295181,0.3,UP,True,0.7150000000000001,0.689,
ethereum-up-or-down-april-26-2026-10pm-et,ethereum,2026-04-27 02:00:00+00:00,3600,9902.213993,2394.6,0.00010655664165786278,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-26-2026-11pm-et,ethereum,2026-04-27 03:00:00+00:00,3600,13689.685629999989,2392.16,5.400916710000426e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-12am-et,ethereum,2026-04-27 04:00:00+00:00,3600,12546.029307000004,2394.85,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-1am-et,ethereum,2026-04-27 05:00:00+00:00,3600,24860.495471,2382.84,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-2am-et,ethereum,2026-04-27 06:00:00+00:00,3600,18063.965585000013,2323.17,0.00016641227421976094,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-3am-et,ethereum,2026-04-27 07:00:00+00:00,3600,16117.209756000011,2321.01,8.009939231255735e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-4am-et,ethereum,2026-04-27 08:00:00+00:00,3600,19560.578083000004,2316.0,5.555174801252587e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-5am-et,ethereum,2026-04-27 09:00:00+00:00,3600,14652.737119999998,2319.68,5.538828005107995e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-6am-et,ethereum,2026-04-27 10:00:00+00:00,3600,11606.542182000001,2322.19,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-7am-et,ethereum,2026-04-27 11:00:00+00:00,3600,14101.85869500001,2320.14,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-8am-et,ethereum,2026-04-27 12:00:00+00:00,3600,11609.107508000003,2320.39,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-9am-et,ethereum,2026-04-27 13:00:00+00:00,3600,24515.35473400003,2314.1,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-10am-et,ethereum,2026-04-27 14:00:00+00:00,3600,21916.87457399999,2312.28,7.897997250935269e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-11am-et,ethereum,2026-04-27 15:00:00+00:00,3600,19716.559285999996,2314.75,0.00010426168754085838,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-12pm-et,ethereum,2026-04-27 16:00:00+00:00,3600,10956.516060000002,2275.07,0.00016380384294947874,60,DOWN,58.0,-0.47756365382200056,0.935,0.4574363461779995,0.07999999999999995,UP,False,-0.06499999999999995,-0.08659999999999995,
ethereum-up-or-down-april-27-2026-1pm-et,ethereum,2026-04-27 17:00:00+00:00,3600,11223.456817999995,2278.13,6.988484497258917e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-2pm-et,ethereum,2026-04-27 18:00:00+00:00,3600,8781.936544999997,2287.09,6.797608039288172e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-3pm-et,ethereum,2026-04-27 19:00:00+00:00,3600,19047.19460400001,2288.75,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-4pm-et,ethereum,2026-04-27 20:00:00+00:00,3600,13219.286084999998,2289.15,5.724662947613411e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-5pm-et,ethereum,2026-04-27 21:00:00+00:00,3600,9684.264163000009,2291.69,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-6pm-et,ethereum,2026-04-27 22:00:00+00:00,3600,12163.118622,2287.34,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-7pm-et,ethereum,2026-04-27 23:00:00+00:00,3600,23034.963702,2294.36,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-8pm-et,ethereum,2026-04-28 00:00:00+00:00,3600,15524.395725000004,2303.66,7.257804498562389e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-9pm-et,ethereum,2026-04-28 01:00:00+00:00,3600,13304.820547,2306.76,6.118327365570786e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-10pm-et,ethereum,2026-04-28 02:00:00+00:00,3600,12039.741162000004,2298.61,5.1294090459753234e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-27-2026-11pm-et,ethereum,2026-04-28 03:00:00+00:00,3600,8587.972743000002,2289.1,7.947565751806889e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-28-2026-12am-et,ethereum,2026-04-28 04:00:00+00:00,3600,6649.875648,2290.93,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-28-2026-1am-et,ethereum,2026-04-28 05:00:00+00:00,3600,9494.157946000003,2288.58,5.6668750035942276e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-28-2026-2am-et,ethereum,2026-04-28 06:00:00+00:00,3600,15995.866978000011,2288.13,5.2172459542730686e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-28-2026-3am-et,ethereum,2026-04-28 07:00:00+00:00,3600,12246.040039999993,2277.63,7.325364964678828e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-28-2026-4am-et,ethereum,2026-04-28 08:00:00+00:00,3600,6779.875498999999,2288.0,5.328955948880695e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-28-2026-5am-et,ethereum,2026-04-28 09:00:00+00:00,3600,13745.78768999999,2287.07,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-april-28-2026-6am-et,ethereum,2026-04-28 10:00:00+00:00,3600,11270.861356000003,2282.26,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-28-2026-7am-et,ethereum,2026-04-28 11:00:00+00:00,3600,59.636949,2284.51,5e-05,60,DOWN,55.0,-0.49999999942119555,0.5,5.788044488141963e-10,0.515,DOWN,True,0.5,0.4697,
ethereum-up-or-down-april-28-2026-8am-et,ethereum,2026-04-28 12:00:00+00:00,3600,2789.963884,2275.32,6.185501638569697e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-april-28-2026-9am-et,ethereum,2026-04-28 13:00:00+00:00,3600,5440.943262999998,2278.23,6.168295727000558e-05,60,DOWN,56.0,-0.3135382152936647,0.315,0.0014617847063352896,0.7000000000000001,DOWN,True,0.31499999999999995,0.2809999999999999,
ethereum-up-or-down-april-28-2026-10am-et,ethereum,2026-04-28 14:00:00+00:00,3600,12281.871851999997,2276.37,0.0001181250217731343,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
