slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
bitcoin-up-or-down-april-26-2026-7pm-et,bitcoin,2026-04-26 23:00:00+00:00,3600,79697.54859399993,78313.52,9.63764487071755e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
solana-up-or-down-april-26-2026-7pm-et,solana,2026-04-26 23:00:00+00:00,3600,7749.371608000009,86.73,0.00010193481867199198,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
xrp-up-or-down-april-26-2026-7pm-et,xrp,2026-04-26 23:00:00+00:00,3600,5716.432157000003,1.427,8.806447709143166e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-april-26-2026-8pm-et,bitcoin,2026-04-27 00:00:00+00:00,3600,101265.71063299997,78657.55,9.285547210552059e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
solana-up-or-down-april-26-2026-8pm-et,solana,2026-04-27 00:00:00+00:00,3600,6794.785637000011,86.93,6.901383286835372e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
xrp-up-or-down-april-26-2026-8pm-et,xrp,2026-04-27 00:00:00+00:00,3600,5488.117483000005,1.4308,5.7858609574235524e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-april-26-2026-9pm-et,bitcoin,2026-04-27 01:00:00+00:00,3600,114375.2523739999,79309.0,8.587660761279382e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
solana-up-or-down-april-26-2026-9pm-et,solana,2026-04-27 01:00:00+00:00,3600,8132.528411000001,87.34,8.012871512749206e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
xrp-up-or-down-april-26-2026-9pm-et,xrp,2026-04-27 01:00:00+00:00,3600,4226.567943999999,1.4394,7.503335012006864e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-april-26-2026-10pm-et,bitcoin,2026-04-27 02:00:00+00:00,3600,60005.73124200001,79283.65,0.00010037908751537626,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
solana-up-or-down-april-26-2026-10pm-et,solana,2026-04-27 02:00:00+00:00,3600,8104.767023,87.82,9.215742593270028e-05,60,DOWN,59.0,-0.4748576078583726,0.975,0.5001423921416274,0.04000000000000002,DOWN,True,0.975,0.9541999999999999,
xrp-up-or-down-april-26-2026-10pm-et,xrp,2026-04-27 02:00:00+00:00,3600,4857.013344999999,1.4447,8.832019984113334e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-26-2026-11pm-et,bitcoin,2026-04-27 03:00:00+00:00,3600,47684.80403799999,79130.01,5.0561867959250004e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
solana-up-or-down-april-26-2026-11pm-et,solana,2026-04-27 03:00:00+00:00,3600,5924.496392,87.81,8.164459563928845e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
