slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
sol-updown-5m-1780962600,solana,2026-06-08 23:50:00+00:00,300,0.0,66.67,0.00013347810999965706,5,UP,1,0.06450917486216057,0.55,0.6145091748621606,0.5650000000000001,UP,True,0.44999999999999996,0.41869999999999996,
bitcoin-up-or-down-june-8-2026-7pm-et,bitcoin,2026-06-08 23:00:00+00:00,3600,44251.405929999986,63440.0,7.310975608562566e-05,60,UP,2,0.08474157135721039,0.475,0.5597415713572104,0.49,DOWN,False,-0.475,-0.5048,
ethereum-up-or-down-june-8-2026-7pm-et,ethereum,2026-06-08 23:00:00+00:00,3600,7759.233699000001,1703.21,8.964272083643853e-05,60,UP,1,0.054937186162970886,0.465,0.5199371861629709,0.48000000000000004,DOWN,False,-0.465,-0.49460000000000004,
solana-up-or-down-june-8-2026-7pm-et,solana,2026-06-08 23:00:00+00:00,3600,1843.2431140000012,67.2,0.00010247771943720956,60,UP,2,0.0941935792003411,0.485,0.5791935792003411,0.5,DOWN,False,-0.485,-0.515,
xrp-up-or-down-june-8-2026-7pm-et,xrp,2026-06-08 23:00:00+00:00,3600,1519.5030710000003,1.1778,9.9996105834671e-05,60,UP,2,0.09403213178922987,0.47,0.5640321317892298,0.485,DOWN,False,-0.47,-0.4997,
xrp-updown-15m-1780962300,xrp,2026-06-08 23:45:00+00:00,900,1338.2373239999997,1.1701,0.00012050948809661894,15,DOWN,1,-0.178512195282866,0.5,0.321487804717134,0.515,DOWN,True,0.5,0.4697,
btc-updown-15m-1780962300,bitcoin,2026-06-08 23:45:00+00:00,900,42688.25469999998,63134.0,8.806117282492554e-05,15,DOWN,1,-0.26833650114448665,0.515,0.24666349885551336,0.5,DOWN,True,0.515,0.485,
eth-updown-15m-1780962300,ethereum,2026-06-08 23:45:00+00:00,900,3478.2654900000007,1696.83,0.00012406349754798295,15,DOWN,1,-0.277808995519926,0.515,0.23719100448007402,0.5,DOWN,True,0.515,0.485,
sol-updown-15m-1780962300,solana,2026-06-08 23:45:00+00:00,900,5243.541241000001,66.86,0.00013356277279387248,15,DOWN,1,-0.15478064226525917,0.505,0.35021935773474083,0.51,DOWN,True,0.505,0.4748,
sol-updown-5m-1780962900,solana,2026-06-08 23:55:00+00:00,300,3974.736653,66.74,0.00013467718049010535,5,UP,1,0.0756773323139669,0.51,0.5856773323139669,0.525,UP,True,0.49,0.45949999999999996,
xrp-updown-5m-1780962900,xrp,2026-06-08 23:55:00+00:00,300,1077.6896580000002,1.1672,0.000123001417529122,5,UP,1,0.06172484786965071,0.51,0.5717248478696507,0.525,UP,True,0.49,0.45949999999999996,
btc-updown-5m-1780962900,bitcoin,2026-06-08 23:55:00+00:00,300,67760.07571899993,63026.0,9.212948835195577e-05,5,UP,1,0.2096778821229217,0.505,0.7146778821229217,0.52,UP,True,0.495,0.46459999999999996,
eth-updown-5m-1780962900,ethereum,2026-06-08 23:55:00+00:00,300,6359.110999999998,1688.5,0.00013177200105589213,5,UP,2,0.07757227769648067,0.615,0.6925722776964807,0.63,UP,True,0.385,0.3524,
