slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
bitcoin-up-or-down-june-1-2026-7pm-et,bitcoin,2026-06-01 23:00:00+00:00,3600,34383.92087000003,71407.99,7.552365475736293e-05,60,UP,59.0,0.41605016747609075,0.305,0.7210501674760907,0.32,UP,True,0.6950000000000001,0.6686,
ethereum-up-or-down-june-1-2026-7pm-et,ethereum,2026-06-01 23:00:00+00:00,3600,6613.349704999999,2004.42,9.792656719335708e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
solana-up-or-down-june-1-2026-7pm-et,solana,2026-06-01 23:00:00+00:00,3600,1505.1856910000004,81.41,0.00011792395549607084,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-up-or-down-june-1-2026-7pm-et,xrp,2026-06-01 23:00:00+00:00,3600,561.5122090000001,1.3005,8.43593644192337e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-1-2026-8pm-et,bitcoin,2026-06-02 00:00:00+00:00,3600,24667.166177000017,71408.9,6.235698618094151e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-1-2026-8pm-et,ethereum,2026-06-02 00:00:00+00:00,3600,11321.972748,2006.73,7.117671507895896e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
solana-up-or-down-june-1-2026-8pm-et,solana,2026-06-02 00:00:00+00:00,3600,2649.207303999999,81.28,8.333503259382463e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-up-or-down-june-1-2026-8pm-et,xrp,2026-06-02 00:00:00+00:00,3600,603.650653,1.2972,7.632887826933392e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-1-2026-9pm-et,bitcoin,2026-06-02 01:00:00+00:00,3600,26701.892906999994,71289.24,5.101452165667618e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-1-2026-9pm-et,ethereum,2026-06-02 01:00:00+00:00,3600,5679.8359390000005,1996.43,5.314271076366895e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
solana-up-or-down-june-1-2026-9pm-et,solana,2026-06-02 01:00:00+00:00,3600,1242.6184759999996,80.89,7.276360323850692e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-up-or-down-june-1-2026-9pm-et,xrp,2026-06-02 01:00:00+00:00,3600,1434.266443,1.2892,6.351007197321567e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-1-2026-10pm-et,bitcoin,2026-06-02 02:00:00+00:00,3600,42025.507380999916,70652.47,7.153583677342801e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-june-1-2026-10pm-et,ethereum,2026-06-02 02:00:00+00:00,3600,18036.859093000006,1980.15,9.01899131086058e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
solana-up-or-down-june-1-2026-10pm-et,solana,2026-06-02 02:00:00+00:00,3600,5000.953001000008,80.11,0.00010485552655625022,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
xrp-up-or-down-june-1-2026-10pm-et,xrp,2026-06-02 02:00:00+00:00,3600,3394.214446000002,1.2797,9.648595372952623e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-june-1-2026-11pm-et,bitcoin,2026-06-02 03:00:00+00:00,3600,18421.66685200002,70846.48,0.00011143461711083057,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
ethereum-up-or-down-june-1-2026-11pm-et,ethereum,2026-06-02 03:00:00+00:00,3600,8095.530241999996,1997.08,0.00012722385629861994,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
solana-up-or-down-june-1-2026-11pm-et,solana,2026-06-02 03:00:00+00:00,3600,1166.0980099999995,80.78,0.00012973685723751375,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
xrp-up-or-down-june-1-2026-11pm-et,xrp,2026-06-02 03:00:00+00:00,3600,634.743299,1.2844,0.00012445876065443522,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-june-2-2026-12am-et,bitcoin,2026-06-02 04:00:00+00:00,3600,32790.288688999965,70953.7,6.293550590811562e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-2-2026-12am-et,ethereum,2026-06-02 04:00:00+00:00,3600,8359.22968,2003.94,7.293101062034404e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
solana-up-or-down-june-2-2026-12am-et,solana,2026-06-02 04:00:00+00:00,3600,1196.5077079999999,80.92,8.817900832934909e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-up-or-down-june-2-2026-12am-et,xrp,2026-06-02 04:00:00+00:00,3600,1010.410251,1.288,8.604315867930809e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-2-2026-1am-et,bitcoin,2026-06-02 05:00:00+00:00,3600,31497.249595999998,70810.0,5.9042772663635894e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-2-2026-1am-et,ethereum,2026-06-02 05:00:00+00:00,3600,6046.644613000003,1996.86,6.638227806329936e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
solana-up-or-down-june-2-2026-1am-et,solana,2026-06-02 05:00:00+00:00,3600,1041.3739059999998,80.44,9.483515343090613e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-up-or-down-june-2-2026-1am-et,xrp,2026-06-02 05:00:00+00:00,3600,1271.486145,1.2803,8.917346027163192e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-june-2-2026-2am-et,bitcoin,2026-06-02 06:00:00+00:00,3600,58150.61489699993,70268.97,7.209554281751639e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
ethereum-up-or-down-june-2-2026-2am-et,ethereum,2026-06-02 06:00:00+00:00,3600,9158.681615999994,1985.01,8.480105537907402e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
solana-up-or-down-june-2-2026-2am-et,solana,2026-06-02 06:00:00+00:00,3600,2081.0715899999996,79.63,0.00010206380731090637,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
xrp-up-or-down-june-2-2026-2am-et,xrp,2026-06-02 06:00:00+00:00,3600,1048.3838139999998,1.2679,9.152297298875437e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
