slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
bitcoin-up-or-down-june-1-2026-7pm-et,bitcoin,2026-06-01 23:00:00+00:00,3600,34383.92087000003,71407.99,7.552365475736293e-05,60,UP,4,0.06017763551238431,0.405,0.46517763551238434,0.42000000000000004,UP,True,0.595,0.5666,
ethereum-up-or-down-june-1-2026-7pm-et,ethereum,2026-06-01 23:00:00+00:00,3600,6613.349704999999,2004.42,9.792656719335708e-05,60,UP,4,0.08456166346421051,0.405,0.48956166346421054,0.42000000000000004,UP,True,0.595,0.5666,
solana-up-or-down-june-1-2026-7pm-et,solana,2026-06-01 23:00:00+00:00,3600,1505.1856910000004,81.41,0.00011792395549607084,60,DOWN,3,-0.05910036908832028,0.455,0.39589963091167973,0.5599999999999999,DOWN,True,0.45500000000000007,0.42380000000000007,
xrp-up-or-down-june-1-2026-7pm-et,xrp,2026-06-01 23:00:00+00:00,3600,561.5122090000001,1.3005,8.43593644192337e-05,60,DOWN,7,-0.05595002887884165,0.43,0.37404997112115834,0.5850000000000001,DOWN,True,0.42999999999999994,0.39829999999999993,
bitcoin-up-or-down-june-1-2026-8pm-et,bitcoin,2026-06-02 00:00:00+00:00,3600,24667.166177000017,71408.9,6.235698618094151e-05,60,UP,2,0.07934297595120438,0.365,0.44434297595120437,0.38,DOWN,False,-0.365,-0.3926,
ethereum-up-or-down-june-1-2026-8pm-et,ethereum,2026-06-02 00:00:00+00:00,3600,11321.972748,2006.73,7.117671507895896e-05,60,UP,4,0.0586944280627239,0.395,0.4536944280627239,0.41000000000000003,DOWN,False,-0.395,-0.4232,
solana-up-or-down-june-1-2026-8pm-et,solana,2026-06-02 00:00:00+00:00,3600,2649.207303999999,81.28,8.333503259382463e-05,60,DOWN,1,-0.10667127759726647,0.5,0.39332872240273353,0.515,DOWN,True,0.5,0.4697,
xrp-up-or-down-june-1-2026-8pm-et,xrp,2026-06-02 00:00:00+00:00,3600,603.650653,1.2972,7.632887826933392e-05,60,DOWN,1,-0.09467168131476156,0.495,0.40032831868523844,0.52,DOWN,True,0.495,0.46459999999999996,
bitcoin-up-or-down-june-1-2026-9pm-et,bitcoin,2026-06-02 01:00:00+00:00,3600,26701.892906999994,71289.24,5.101452165667618e-05,60,UP,3,0.09526703731472852,0.485,0.5802670373147285,0.5,DOWN,False,-0.485,-0.515,
ethereum-up-or-down-june-1-2026-9pm-et,ethereum,2026-06-02 01:00:00+00:00,3600,5679.8359390000005,1996.43,5.314271076366895e-05,60,DOWN,2,-0.09478603355707005,0.505,0.41021396644292996,0.51,DOWN,True,0.505,0.4748,
