slug,asset,window_start,window_seconds,volume_usd,strike,sigma_per_sec,ticks,signal,signal_minute,signal_edge_up,p_poly_at_signal,p_fair_at_signal,fill_price,outcome,correct,pnl_naive,pnl_realistic,note
bitcoin-up-or-down-april-26-2026-7pm-et,bitcoin,2026-04-26 23:00:00+00:00,3600,79697.54859399993,78313.52,9.63764487071755e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-april-26-2026-8pm-et,bitcoin,2026-04-27 00:00:00+00:00,3600,101265.71063299997,78657.55,9.285547210552059e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-april-26-2026-9pm-et,bitcoin,2026-04-27 01:00:00+00:00,3600,114375.2523739999,79309.0,8.587660761279382e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-27-2026-1am-et,bitcoin,2026-04-27 05:00:00+00:00,3600,100629.28587500003,78924.21,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-27-2026-3am-et,bitcoin,2026-04-27 07:00:00+00:00,3600,140292.2594919997,77700.12,5.811381194602312e-05,60,DOWN,55.0,-0.321107850351464,0.745,0.423892149648536,0.27,DOWN,True,0.745,0.7196,
bitcoin-up-or-down-april-27-2026-4am-et,bitcoin,2026-04-27 08:00:00+00:00,3600,102329.94084800001,77606.59,5.188859665278467e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-april-27-2026-7am-et,bitcoin,2026-04-27 11:00:00+00:00,3600,78445.86959500003,77850.01,5e-05,60,UP,59.0,0.339321273990049,0.085,0.42432127399004904,0.1,DOWN,False,-0.085,-0.10700000000000001,
bitcoin-up-or-down-april-27-2026-9am-et,bitcoin,2026-04-27 13:00:00+00:00,3600,81819.01637299999,77667.36,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-april-27-2026-11am-et,bitcoin,2026-04-27 15:00:00+00:00,3600,77446.38854199997,77815.26,8.028335637229374e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-27-2026-3pm-et,bitcoin,2026-04-27 19:00:00+00:00,3600,110208.08630799985,76834.05,5e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-april-27-2026-5pm-et,bitcoin,2026-04-27 21:00:00+00:00,3600,84964.84745099998,76960.43,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-28-2026-1am-et,bitcoin,2026-04-28 05:00:00+00:00,3600,94875.4989380001,76888.08,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-28-2026-3am-et,bitcoin,2026-04-28 07:00:00+00:00,3600,190889.5812709999,76720.01,5.0908561239981255e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-april-29-2026-12am-et,bitcoin,2026-04-29 04:00:00+00:00,3600,83226.71881999998,76994.77,6.280649055278983e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
bitcoin-up-or-down-april-29-2026-2am-et,bitcoin,2026-04-29 06:00:00+00:00,3600,76751.77770500001,77288.39,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-29-2026-7am-et,bitcoin,2026-04-29 11:00:00+00:00,3600,77511.30766700002,77619.62,5e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-29-2026-9am-et,bitcoin,2026-04-29 13:00:00+00:00,3600,208860.8932479999,77143.68,8.261674760950747e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-29-2026-10am-et,bitcoin,2026-04-29 14:00:00+00:00,3600,161211.7125119998,76783.42,9.049903838308844e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-29-2026-11am-et,bitcoin,2026-04-29 15:00:00+00:00,3600,155534.7032339997,76570.0,6.598424974410513e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-29-2026-12pm-et,bitcoin,2026-04-29 16:00:00+00:00,3600,160705.75273999985,75924.24,7.885488909587668e-05,60,NONE,,,,,0.0,DOWN,,0.0,0.0,no_signal
bitcoin-up-or-down-april-29-2026-1pm-et,bitcoin,2026-04-29 17:00:00+00:00,3600,141376.78572399984,75803.55,6.747977446801553e-05,60,NONE,,,,,0.0,UP,,0.0,0.0,no_signal
